Platform,Directory,URL,ignore,FullName,ReleaseYear,Generation,query_ratings,download_count,ignore_ratings
PS2,ps2,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/,FALSE,Sony PlayStation 2,2000,6,FALSE,75,FALSE
GBA,gba,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/,FALSE,Nintendo Game Boy Advance,2001,6,FALSE,800,FALSE
GC,gamecube,https://myrient.erista.me/files/Redump/Nintendo%20-%20GameCube%20-%20NKit%20RVZ%20%5Bzstd-19-128k%5D/,FALSE,Nintendo GameCube,2001,6,FALSE,75,FALSE
XB,xbox,https://archive.org/download/metal-gear-solid-2-substance-usa;https://archive.org/download/microsoft-xbox-xemu.xisoready-software-collection-part-2,FALSE,Microsoft Xbox,2001,6,FALSE,25,FALSE
atomiswave,atomiswave,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/Game%20Sets/Sammy%20Atomiswave%20Conversions%20Champion%20Collection/,FALSE,Sega Sammy Atomiswave,2003,,FALSE,0,TRUE
DS,nds,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Nintendo%20DS%20%28Decrypted%29/,FALSE,Nintendo DS,2004,7,FALSE,150,FALSE
PSP,psp,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%20Portable/,FALSE,Sony PlayStation Portable,2004,7,FALSE,150,FALSE
X360,xbox360,https://myrient.erista.me/files/No-Intro/Non-Redump%20-%20Microsoft%20-%20Xbox%20360/,TRUE,Microsoft Xbox 360,2005,7,FALSE,0,FALSE
PS3,ps3,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/,FALSE,Sony PlayStation 3,2006,7,FALSE,0,FALSE
Wii,wii,https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20%5Bzstd-19-128k%5D/,FALSE,Nintendo Wii,2006,7,FALSE,0,FALSE
3DS,3ds,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Nintendo%203DS%20%28Decrypted%29/,FALSE,Nintendo 3DS,2011,8,FALSE,50,FALSE
PSV,psvita,https://archive.org/download/sony-playstation-vita-usa-full-set-nonpdrm-format,FALSE,Sony PlayStation Vita,2011,8,FALSE,50,FALSE
WiiU,wiiu,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Wii%20U%20%28Digital%29%20%28CDN%29/,FALSE,Nintendo Wii U,2012,8,FALSE,0,FALSE
PS4,ps4,,TRUE,Sony PlayStation 4,2013,8,FALSE,0,FALSE
XOne,xboxone,,TRUE,Microsoft Xbox One,2013,8,FALSE,0,FALSE
switch,switch,,FALSE,Nintendo Switch,2017,9,FALSE,0,FALSE
ports,ports,,TRUE,Various Source Ports,,,FALSE,0,FALSE
