Platform,Match Score,Kept Key,Moved Key,Kept File,Moved File
gbc,100.0,rayman zip,rayman 2 zip,"gbc\Rayman (USA) (En,Fr,De,Es,It,Nl).zip","gbc\Rayman 2 (USA) (En,Fr,De,Es,It).zip"
gbc,100.0,survival kids zip,survival kids 2 dasshutsu futago jima zip,gbc\Survival Kids (USA) (SGB Enhanced) (GB Compatible).zip,gbc\Survival Kids 2 - Dasshutsu!! Futago-Jima! (Japan) (SGB Enhanced) (GB Compatible) (Translated).zip
gbc,100.0,tomb raider zip,tomb raider curse of the sword zip,"gbc\Tomb Raider (USA, Europe) (En,Fr,De,Es,It).zip","gbc\Tomb Raider - Curse of the Sword (USA, Europe).zip"
gc,100.0,metroid prime rvz,metroid prime 2 echoes rvz,gc\Metroid Prime (US).rvz,gc\Metroid Prime 2 - Echoes (US).rvz
gc,100.0,pikmin rvz,pikmin 2 rvz,gc\Pikmin (US).rvz,gc\Pikmin 2 (US).rvz
gc,100.0,resident evil cd1 rvz,resident evil 4 cd1 rvz,gc\Resident Evil (US) - CD1.rvz,gc\Resident Evil 4 (US) - CD1.rvz
gc,100.0,resident evil cd1 rvz,resident evil zero cd1 rvz,gc\Resident Evil (US) - CD1.rvz,gc\Resident Evil Zero (US) - CD1.rvz
gc,100.0,resident evil cd2 rvz,resident evil 4 cd2 rvz,gc\Resident Evil (US) - CD2.rvz,gc\Resident Evil 4 (US) - CD2.rvz
gc,100.0,resident evil cd2 rvz,resident evil zero cd2 rvz,gc\Resident Evil (US) - CD2.rvz,gc\Resident Evil Zero (US) - CD2.rvz
intellivision,100.0,advanced dungeons and dragons zip,advanced dungeons and dragons treasure of tarmin zip,"intellivision\Advanced Dungeons & Dragons (USA, Europe).zip",intellivision\Advanced Dungeons & Dragons - Treasure of Tarmin (USA).zip
intellivision,100.0,donkey kong zip,donkey kong junior zip,"intellivision\Donkey Kong (USA, Europe).zip","intellivision\Donkey Kong Junior (USA, Europe).zip"
jaguar,100.0,battle sphere j64,battle sphere gold j64,jaguar\Battle Sphere (World).j64,jaguar\Battle Sphere Gold (World).j64
jaguar,100.0,iron soldier j64,iron soldier 2 j64,jaguar\Iron Soldier (World).j64,"jaguar\Iron Soldier 2 (USA, Europe).j64"
lynx,100.0,ninja gaiden zip,ninja gaiden 3 the ancient ship of doom zip,"lynx\Ninja Gaiden (USA, Europe).zip","lynx\Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe).zip"
mame,95.65217391304348,aburner zip,aburner2 zip,mame\aburner.zip,mame\aburner2.zip
mame,95.23809523809524,contra zip,scontra zip,mame\contra.zip,mame\scontra.zip
mame,95.23809523809524,digdug zip,digdug2 zip,mame\digdug.zip,mame\digdug2.zip
mame,95.65217391304348,gaunt22p zip,gaunt2p zip,mame\gaunt22p.zip,mame\gaunt2p.zip
mame,95.65217391304348,gradius zip,gradius2 zip,mame\gradius.zip,mame\gradius2.zip
mame,94.73684210526315,ldrun zip,ldrun2 zip,mame\ldrun.zip,mame\ldrun2.zip
mame,94.73684210526315,ldrun zip,ldrun4 zip,mame\ldrun.zip,mame\ldrun4.zip
mame,95.65217391304348,macross zip,macross2 zip,mame\macross.zip,mame\macross2.zip
mame,95.65217391304348,macross zip,macrossp zip,mame\macross.zip,mame\macrossp.zip
mame,92.3076923076923,mk zip,mk2 zip,mame\mk.zip,mame\mk2.zip
mame,92.3076923076923,mk zip,mk3 zip,mame\mk.zip,mame\mk3.zip
mame,95.23809523809524,nrallyx zip,rallyx zip,mame\nrallyx.zip,mame\rallyx.zip
mame,95.65217391304348,polepos zip,polepos2 zip,mame\polepos.zip,mame\polepos2.zip
mame,95.65217391304348,s1945ii zip,s1945iii zip,mame\s1945ii.zip,mame\s1945iii.zip
mame,93.33333333333333,sf2 zip,sf2t zip,mame\sf2.zip,mame\sf2t.zip
mame,93.33333333333333,sf2 zip,sfa2 zip,mame\sf2.zip,mame\sfa2.zip
mame,95.23809523809524,tekken zip,tekken2 zip,mame\tekken.zip,mame\tekken2.zip
mame,95.23809523809524,tekken zip,tekken3 zip,mame\tekken.zip,mame\tekken3.zip
mastersystem,100.0,alex kidd in shinobi world zip,shinobi zip,"mastersystem\Alex Kidd in Shinobi World (USA, Europe, Brazil).zip","mastersystem\Shinobi (USA, Europe, Brazil) (Rev 1).zip"
mastersystem,100.0,alex kidd in shinobi world zip,shinobi zip,"mastersystem\Alex Kidd in Shinobi World (USA, Europe, Brazil).zip",mastersystem\Shinobi.zip
mastersystem,100.0,asterix zip,asterix and the great rescue zip,"mastersystem\Asterix (Europe, Brazil) (En,Fr) (Rev 1).zip",mastersystem\Asterix and the Great Rescue.zip
mastersystem,100.0,asterix zip,asterix and the secret mission zip,"mastersystem\Asterix (Europe, Brazil) (En,Fr) (Rev 1).zip",mastersystem\Asterix and the Secret Mission.zip
mastersystem,100.0,california games zip,california games 2 zip,"mastersystem\California Games (USA, Europe, Brazil).zip",mastersystem\California Games II (Europe).zip
mastersystem,100.0,fantasy zone zip,fantasy zone the maze zip,mastersystem\Fantasy Zone (World) (Rev 1).zip,"mastersystem\Fantasy Zone - The Maze (USA, Europe, Brazil).zip"
mastersystem,100.0,fantasy zone zip,fantasy zone 2 zip,mastersystem\Fantasy Zone (World) (Rev 1).zip,"mastersystem\Fantasy Zone II (USA, Europe, Brazil).zip"
mastersystem,100.0,golden axe zip,golden axe warrior zip,"mastersystem\Golden Axe (USA, Europe, Brazil).zip","mastersystem\Golden Axe Warrior (USA, Europe, Brazil).zip"
mastersystem,100.0,kenseiden zip,kenseiden zip,"mastersystem\Kenseiden (USA, Europe, Brazil).zip",mastersystem\Kenseiden.zip
mastersystem,100.0,mortal kombat 2 zip,mortal kombat zip,mastersystem\Mortal Kombat II.zip,mastersystem\Mortal Kombat.zip
mastersystem,100.0,ninja gaiden zip,ninja zip,"mastersystem\Ninja Gaiden (Europe, Brazil).zip",mastersystem\The Ninja.zip
mastersystem,100.0,outrun zip,outrun zip,mastersystem\OutRun (World).zip,mastersystem\OutRun.zip
mastersystem,100.0,power strike zip,power strike 2 zip,"mastersystem\Power Strike (USA, Europe, Brazil) (En).zip","mastersystem\Power Strike II (Europe, Brazil) (En).zip"
mastersystem,100.0,sonic the hedgehog zip,sonic the hedgehog 2 zip,"mastersystem\Sonic The Hedgehog (USA, Europe, Brazil).zip","mastersystem\Sonic The Hedgehog 2 (Europe, Brazil) (Rev 1).zip"
mastersystem,100.0,spellcaster zip,spellcaster zip,"mastersystem\SpellCaster (USA, Europe, Brazil) (En).zip",mastersystem\SpellCaster.zip
mastersystem,100.0,streets of rage zip,streets of rage 2 zip,"mastersystem\Streets of Rage (Europe, Brazil).zip","mastersystem\Streets of Rage II (Europe, Brazil).zip"
mastersystem,100.0,wonder boy zip,wonder boy 3 the dragon s trap zip,"mastersystem\Wonder Boy (USA, Europe, Brazil) (Rev 1).zip","mastersystem\Wonder Boy III - The Dragon's Trap (USA, Europe).zip"
mastersystem,100.0,wonder boy zip,wonder boy in monster land zip,"mastersystem\Wonder Boy (USA, Europe, Brazil) (Rev 1).zip","mastersystem\Wonder Boy in Monster Land (USA, Europe).zip"
