Platform,Match Score,Kept Key,Moved Key,Kept File,Moved File
pcengine,94.44444444444444,legendary axe 2 zip,legendary axe the zip,pcengine\Legendary Axe II (USA).zip,"pcengine\Legendary Axe, The (USA).zip"
pcengine,100.0,moto roader zip,moto roader 2 zip,pcengine\Moto Roader (USA).zip,pcengine\Moto Roader II (Japan).zip
pcengine,100.0,neutopia zip,neutopia 2 zip,pcengine\Neutopia (USA).zip,pcengine\Neutopia II (USA).zip
pcengine,100.0,r type zip,r type 1 zip,pcengine\R-Type (USA).zip,pcengine\R-Type I (Japan).zip
pcenginecd,92.06349206349206,chou jikuu yousai macross eien no love song chd,chou jikuu yousai macross 2036 chd,pcenginecd\Chou Jikuu Yousai Macross - Eien no Love Song (Japan).chd,pcenginecd\Chou Jikuu Yousai Macross 2036 (Japan).chd
pcenginecd,100.0,exile chd,exile wicked phenomenon chd,pcenginecd\Exile (USA).chd,pcenginecd\Exile - Wicked Phenomenon (USA).chd
pcenginecd,100.0,ginga ojousama densetsu yuna 2 chd,ginga ojousama densetsu yuna chd,pcenginecd\Ginga Ojousama Densetsu Yuna 2 [ENG].chd,pcenginecd\Ginga Ojousama Densetsu Yuna [ENG].chd
pcenginecd,100.0,might and magic 3 isles of terra chd,might and magic chd,pcenginecd\Might and Magic III - Isles of Terra (USA).chd,pcenginecd\Might and Magic [ENG].chd
pcenginecd,100.0,monster lair chd,wonder boy 3 monster lair chd,pcenginecd\Monster Lair (USA).chd,pcenginecd\Wonder Boy III - Monster Lair (Japan) (Rev 4).chd
pcenginecd,100.0,record of lodoss war chd,record of lodoss war 2 chd,pcenginecd\Record of Lodoss War (Japan).chd,pcenginecd\Record of Lodoss War II (Japan).chd
pcenginecd,100.0,sherlock holmes consulting detective chd,sherlock holmes consulting detective volume 2 chd,pcenginecd\Sherlock Holmes - Consulting Detective (USA).chd,pcenginecd\Sherlock Holmes - Consulting Detective - Volume 2 (USA).chd
pcenginecd,100.0,super darius chd,super darius 2 chd,pcenginecd\Super Darius (Japan).chd,pcenginecd\Super Darius II (Japan).chd
pcfx,100.0,angelique special chd,angelique special 2 chd,pcfx\Angelique Special (Japan).chd,pcfx\Angelique Special 2 (Japan).chd
ps2,100.0,black chd,twisted metal black chd,ps2\Black (USA).chd,"ps2\Twisted Metal - Black (Europe) (En,Fr,De,Es,It).chd"
ps2,100.0,star wars battlefront iso,star wars battlefront 2 unofficial update mod iso,"ps2\Star Wars - Battlefront (Europe) (En,Es,It).iso",ps2\Star Wars - Battlefront II (USA) - Unofficial Update Mod (v1.02).iso
psx,100.0,crash bandicoot chd,crash bandicoot warped chd,psx\Crash Bandicoot (USA).chd,psx\Crash Bandicoot - Warped (USA).chd
psx,100.0,crash bandicoot chd,crash bandicoot 2 cortex strikes back chd,psx\Crash Bandicoot (USA).chd,psx\Crash Bandicoot 2 - Cortex Strikes Back (USA).chd
psx,100.0,digimon world chd,digimon world 2 chd,psx\Digimon World (USA).chd,psx\Digimon World 2 (USA).chd
psx,100.0,digimon world chd,digimon world 3 chd,psx\Digimon World (USA).chd,psx\Digimon World 3 (USA).chd
psx,100.0,dino crisis chd,dino crisis 2 chd,psx\Dino Crisis (USA).chd,psx\Dino Crisis 2 (USA).chd
psx,96.55172413793103,final fantasy anthology final fantasy v chd,final fantasy anthology final fantasy 6 chd,psx\Final Fantasy Anthology - Final Fantasy V (USA).chd,psx\Final Fantasy Anthology - Final Fantasy VI (USA).chd
psx,96.55172413793103,final fantasy chronicles chrono trigger chd,final fantasy chronicles final fantasy 4 chd,psx\Final Fantasy Chronicles - Chrono Trigger (USA).chd,psx\Final Fantasy Chronicles - Final Fantasy IV (USA).chd
psx,100.0,gran turismo chd,gran turismo 2 chd,psx\Gran Turismo (USA).chd,psx\Gran Turismo 2 (USA) (Simulation Mode).chd
psx,100.0,mega man legends chd,mega man legends 2 chd,psx\Mega Man Legends (USA).chd,psx\Mega Man Legends 2 (USA).chd
psx,100.0,resident evil chd,resident evil director s cut chd,psx\Resident Evil (USA).chd,psx\Resident Evil - Director's Cut (USA).chd
psx,100.0,resident evil chd,resident evil director s cut dual shock ver chd,psx\Resident Evil (USA).chd,psx\Resident Evil - Director's Cut - Dual Shock Ver. (USA).chd
psx,100.0,resident evil chd,resident evil 3 nemesis chd,psx\Resident Evil (USA).chd,psx\Resident Evil 3 - Nemesis (USA).chd
psx,100.0,spyro year of the dragon chd,spyro the dragon chd,psx\Spyro - Year of the Dragon (USA).chd,psx\Spyro the Dragon (USA).chd
psx,100.0,suikoden chd,suikoden 2 chd,psx\Suikoden (USA) (Rev 1).chd,psx\Suikoden II (USA).chd
psx,100.0,tomb raider chd,tomb raider 2 starring lara croft chd,psx\Tomb Raider (USA).chd,psx\Tomb Raider II - Starring Lara Croft (USA).chd
psx,100.0,tomba chd,tomba 2 the evil swine return chd,psx\Tomba! (USA).chd,psx\Tomba! 2 - The Evil Swine Return (USA).chd
psx,100.0,tony hawk s pro skater chd,tony hawk s pro skater 2 chd,psx\Tony Hawk's Pro Skater (USA).chd,psx\Tony Hawk's Pro Skater 2 (USA).chd
saturn,100.0,clockwork knight pepperouchau s adventure chd,clockwork knight 2 pepperouchau s adventure chd,saturn\Clockwork Knight - Pepperouchau's Adventure (USA).chd,saturn\Clockwork Knight 2 - Pepperouchau's Adventure (USA).chd
saturn,100.0,daytona usa chd,daytona usa championship circuit edition chd,saturn\Daytona USA (USA).chd,saturn\Daytona USA - Championship Circuit Edition (USA).chd
saturn,100.0,dragon force chd,dragon force 2 the godforsaken land chd,saturn\Dragon Force (USA).chd,saturn\Dragon Force II - The Godforsaken Land [ENG].chd
saturn,92.3076923076923,mega man 8 chd,mega man x4 chd,saturn\Mega Man 8 (USA).chd,saturn\Mega Man X4 (USA).chd
saturn,100.0,panzer dragoon chd,panzer dragoon 2 zwei chd,saturn\Panzer Dragoon (USA) (5S).chd,saturn\Panzer Dragoon II Zwei (USA).chd
saturn,94.73684210526315,virtua fighter 2 chd,virtua fighter remix chd,saturn\Virtua Fighter 2 (USA) (RE).chd,saturn\Virtua Fighter Remix (USA).chd
segacd,100.0,chuck rock chd,chuck rock 2 son of chuck chd,segacd\Chuck Rock (U).chd,segacd\Chuck Rock II - Son of Chuck (U).chd
sg1000,100.0,championship lode runner zip,lode runner zip,"sg1000\Championship Lode Runner (Japan, Australia).zip","sg1000\Lode Runner (Japan, Europe, Australia).zip"
snes,100.0,actraiser zip,actraiser 2 zip,snes\ActRaiser (USA).zip,snes\ActRaiser 2 (USA).zip
snes,100.0,aerobiz zip,aerobiz supersonic zip,snes\Aerobiz (USA).zip,snes\Aerobiz Supersonic (USA).zip
snes,100.0,alien 3 zip,contra 3 the alien wars zip,snes\Alien 3 (USA) (Rev 1).zip,snes\Contra III - The Alien Wars (USA).zip
snes,100.0,breath of fire zip,breath of fire 2 zip,snes\Breath of Fire (USA).zip,snes\Breath of Fire II (USA).zip
snes,100.0,donkey kong country zip,donkey kong country 2 diddy s kong quest zip,snes\Donkey Kong Country (USA) (Rev 2).zip,"snes\Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1).zip"
snes,100.0,donkey kong country zip,donkey kong country 3 dixie kong s double trouble zip,snes\Donkey Kong Country (USA) (Rev 2).zip,"snes\Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr).zip"
snes,94.11764705882354,dragon quest 1 and 2 zip,dragon quest v zip,snes\Dragon Quest I & II (Japan) (Translated).zip,snes\Dragon Quest V (Japan) (Translated).zip
snes,100.0,earthworm jim zip,earthworm jim 2 zip,snes\Earthworm Jim (USA).zip,snes\Earthworm Jim 2 (USA).zip
snes,100.0,fatal fury zip,fatal fury 2 zip,snes\Fatal Fury (USA).zip,snes\Fatal Fury 2 (USA).zip
snes,94.73684210526315,final fantasy 2 zip,final fantasy v zip,snes\Final Fantasy II (USA) (Rev 1).zip,snes\Final Fantasy V (Japan) (Translated).zip
snes,100.0,front mission zip,front mission series gun hazard zip,snes\Front Mission (Japan) (Translated).zip,snes\Front Mission Series - Gun Hazard (Japan) (Translated).zip
snes,100.0,gokujou parodius zip,parodius zip,snes\Gokujou Parodius (Japan).zip,snes\Parodius (Europe).zip
snes,100.0,joe and mac zip,joe and mac 2 lost in the tropics zip,snes\Joe & Mac (USA).zip,snes\Joe & Mac 2 - Lost in the Tropics (USA).zip
snes,100.0,king of the monsters zip,king of the monsters 2 zip,snes\King of the Monsters (USA).zip,snes\King of the Monsters 2 (USA).zip
snes,100.0,legend zip,legend of the mystical ninja the zip,snes\Legend (USA).zip,"snes\Legend of the Mystical Ninja, The (USA).zip"
snes,100.0,legend zip,legend of zelda the a link to the past zip,snes\Legend (USA).zip,"snes\Legend of Zelda, The - A Link to the Past (USA).zip"
snes,100.0,legend zip,super mario rpg legend of the seven stars zip,snes\Legend (USA).zip,snes\Super Mario RPG - Legend of the Seven Stars (USA).zip
snes,94.11764705882354,lost vikings 2 zip,lost vikings the zip,snes\Lost Vikings 2 (USA).zip,"snes\Lost Vikings, The (USA).zip"
snes,92.3076923076923,mega man 7 zip,mega man soccer zip,snes\Mega Man 7 (USA).zip,snes\Mega Man Soccer (USA).zip
snes,92.85714285714286,mega man 7 zip,mega man x zip,snes\Mega Man 7 (USA).zip,snes\Mega Man X (USA) (Rev 1).zip
snes,92.3076923076923,mega man 7 zip,mega man x2 zip,snes\Mega Man 7 (USA).zip,snes\Mega Man X2 (USA).zip
snes,92.3076923076923,mega man 7 zip,mega man x3 zip,snes\Mega Man 7 (USA).zip,snes\Mega Man X3 (USA).zip
snes,100.0,mighty morphin power rangers zip,mighty morphin power rangers the fighting edition zip,snes\Mighty Morphin Power Rangers (USA).zip,snes\Mighty Morphin Power Rangers - The Fighting Edition (USA).zip
snes,100.0,mighty morphin power rangers zip,mighty morphin power rangers the movie zip,snes\Mighty Morphin Power Rangers (USA).zip,snes\Mighty Morphin Power Rangers - The Movie (USA).zip
snes,100.0,mortal kombat zip,mortal kombat 2 zip,snes\Mortal Kombat (USA) (Rev 1).zip,snes\Mortal Kombat II (USA) (Rev 1).zip
snes,100.0,mortal kombat zip,ultimate mortal kombat 3 zip,snes\Mortal Kombat (USA) (Rev 1).zip,snes\Ultimate Mortal Kombat 3 (USA).zip
snes,100.0,p t o pacific theater of operations zip,p t o 2 pacific theater of operations zip,snes\P.T.O. - Pacific Theater of Operations (USA).zip,snes\P.T.O. II - Pacific Theater of Operations (USA).zip
snes,100.0,pocky and rocky zip,pocky and rocky 2 zip,snes\Pocky & Rocky (USA).zip,snes\Pocky & Rocky 2 (USA).zip
snes,100.0,pop n twinbee zip,pop n twinbee rainbow bell adventures zip,snes\Pop'n TwinBee (Europe).zip,snes\Pop'n TwinBee - Rainbow Bell Adventures (Europe).zip
snes,100.0,populous zip,populous 2 trials of the olympian gods zip,snes\Populous (USA).zip,snes\Populous II - Trials of the Olympian Gods (Europe).zip
snes,100.0,shin megami tensei zip,shin megami tensei 2 zip,snes\Shin Megami Tensei (Japan) (Translated).zip,snes\Shin Megami Tensei II (Japan) (Translated).zip
snes,100.0,simcity zip,simcity 2000 the ultimate city simulator zip,snes\SimCity (USA).zip,snes\SimCity 2000 - The Ultimate City Simulator (USA).zip
snes,100.0,sonic blast man zip,sonic blast man 2 zip,snes\Sonic Blast Man (USA).zip,snes\Sonic Blast Man II (USA).zip
snes,100.0,star fox zip,star fox 2 zip,snes\Star Fox (USA) (Rev 2).zip,"snes\Star Fox 2 (USA, Europe).zip"
snes,100.0,super adventure island zip,super adventure island 2 zip,snes\Super Adventure Island (USA).zip,snes\Super Adventure Island II (USA).zip
snes,100.0,super bomberman zip,super bomberman 2 zip,snes\Super Bomberman (USA).zip,snes\Super Bomberman 2 (USA).zip
snes,100.0,super bomberman zip,super bomberman 3 zip,snes\Super Bomberman (USA).zip,snes\Super Bomberman 3 (Europe).zip
snes,100.0,super mario world zip,super mario world 2 yoshi s island zip,snes\Super Mario World (USA).zip,snes\Super Mario World 2 - Yoshi's Island (USA) (Rev 1).zip
snes,100.0,super star wars zip,super star wars return of the jedi zip,snes\Super Star Wars (USA) (Rev 1).zip,snes\Super Star Wars - Return of the Jedi (USA) (Rev 1).zip
snes,100.0,super star wars zip,super star wars the empire strikes back zip,snes\Super Star Wars (USA) (Rev 1).zip,snes\Super Star Wars - The Empire Strikes Back (USA) (Rev 1).zip
snes,100.0,super turrican zip,super turrican 2 zip,snes\Super Turrican (USA).zip,snes\Super Turrican 2 (USA).zip
snes,100.0,top gear zip,top gear 2 zip,snes\Top Gear (USA).zip,snes\Top Gear 2 (USA).zip
snes,100.0,top gear zip,top gear 3000 zip,snes\Top Gear (USA).zip,snes\Top Gear 3000 (USA).zip
snes,100.0,wing commander zip,wing commander the secret missions zip,snes\Wing Commander (USA).zip,snes\Wing Commander - The Secret Missions (USA).zip
